AtcoCode	CrsRef	Latitude	Longitude	StationName	StopType	TiplocRef	StationName2	NodeID
9400ZZEDBAN		55.9289500592	-3.2934342711	Bankhead (Edinburgh Trams)	MET		Bankhead (Edinburgh Trams)	
9100BANSTED	BAD	51.3293488457	-0.2131588524	Banstead	RLY	BANSTED	Banstead Rail Station	
9100BANSBUS		51.3279775393	-0.2111021598	Banstead-Fir Tree Road	BCQ	BANSBUS	Banstead-Fir Tree Road	
9100BARASIE	BSS	55.561058708	-4.651138498	Barassie	RLY	BARASIE	Barassie Rail Station	
		55.5595116	-4.6506821	Barassie Yard GBRF	TP2	BARAGBR	Barassie Yard GBRF	26778832
9100BRBCNLT		51.5196817189	-0.0974410979	Barbican	RLY		Barbican Rail Station	
9400ZZLUBBN		51.5202751843	-0.097992938	Barbican Underground	MET		Barbican Underground Station	
9100BRDNML	BLL	54.9744936159	-2.3465044364	Bardon Mill	RLY	BRDNML	Bardon Mill Rail Station	
9100BARELA	BAR	54.0745414023	-2.835330419	Bare Lane	RLY	BARELA	Bare Lane Rail Station	
9100BRGDDIE	BGI	55.8512912908	-4.0738073523	Bargeddie	RLY	BRGDDIE	Bargeddie Rail Station	
9100BARGOED	BGD	51.6923091846	-3.2296795571	Bargoed	RLY	BARGOED	Bargoed Rail Station	
9100BARKING	BKG	51.5394947156	0.0809025139	Barking	RLY	BARKING	Barking Rail Station	
9400ZZLUBKG		51.5393211798	0.0810532253	Barking Underground	MET	BARKGLT	Barking Underground Station	
9400ZZLUBKE		51.5856886712	0.0885846998	Barkingside Underground	MET		Barkingside Underground Station	
9100BARLSTN	BRT	52.942872159	-2.1681111084	Barlaston	RLY	BARLSTN	Barlaston Rail Station	
9300BCC	BCC	52.9418603833	-2.1715891996	Barlaston Orchard Place	BCQ	BARLSOP	Barlaston Orchard Place	
9400ZZMABAR		53.4328147375	-2.2693501394	Barlow Moor Road (Manchester Metrolink)	MET		Barlow Moor Road (Manchester Metrolink)	
9100BARMING	BMG	51.2848951997	0.4789582033	Barming	RLY	BARMING	Barming Rail Station	
9100BRMOUTH	BRM	52.7228905674	-4.0565957501	Barmouth	RLY	BRMOUTH	Barmouth Rail Station	
9400ZZFBBMF		52.7151193199	-4.0484570953	Barmouth Ferry (Fairbourneway)	MET		Barmouth Ferry (Fairbourne Railway)	
9100BRNHRST	BNH	51.4649591293	0.159646308	Barnehurst	RLY	BRNHRST	Barnehurst Rail Station	
9100BARNES	BNS	51.4670860863	-0.2421642115	Barnes	RLY	BARNES	Barnes Rail Station	
9100BNSBDGE	BNI	51.4720085213	-0.2526301559	Barnes Bridge	RLY	BNSBDGE	Barnes Bridge Rail Station	
9100BNTBY	BTB	53.5751209973	-0.4096796262	Barnetby	RLY	BNTBY	Barnetby Rail Station	
